degree,count
5,97471
6,338
7,285
8,225
9,161
10,132
11,126
12,83
13,101
14,82
15,46
16,62
17,48
18,58
19,42
20,23
21,32
22,18
23,27
24,22
25,23
26,23
27,21
28,14
29,14
30,21
31,13
32,9
33,15
34,8
35,11
36,11
37,9
38,16
39,11
40,12
41,6
42,15
43,9
44,8
45,8
46,9
47,7
48,6
49,3
50,7
51,8
52,5
53,3
54,5
55,8
56,6
57,4
58,4
59,5
60,2
61,3
62,5
63,3
64,3
65,3
66,8
67,3
68,3
69,2
70,2
71,3
72,4
73,1
74,1
75,1
76,4
77,3
78,3
80,3
81,1
82,4
83,1
84,1
85,1
86,1
87,1
88,2
89,3
90,5
92,3
94,5
95,1
96,1
97,4
98,2
99,1
101,1
102,1
103,3
105,1
107,1
108,1
109,1
110,2
113,3
114,3
118,1
120,1
121,2
122,1
123,1
124,2
126,1
127,3
129,1
130,4
131,1
132,1
133,1
138,1
139,2
142,2
143,3
144,1
146,1
147,1
148,2
149,2
151,2
152,2
153,2
157,1
159,2
160,1
164,1
168,1
169,2
170,1
176,1
182,1
184,1
188,1
192,1
194,1
195,1
197,1
198,1
201,1
205,1
206,1
213,1
215,3
222,1
223,1
226,1
227,1
228,1
232,1
235,1
241,1
242,1
249,1
254,1
256,1
258,1
261,1
272,1
277,1
278,1
288,1
291,1
295,1
303,1
312,1
323,1
328,1
331,3
336,2
349,1
352,1
374,1
386,1
405,1
407,1
414,2
427,1
439,1
456,1
461,1
479,1
491,1
501,1
563,1
585,1
596,1
616,1
646,1
653,1
672,1
682,1
686,1
694,1
700,1
707,1
725,1
755,1
761,1
763,1
899,1
945,1
1093,1
1151,1
1297,1
1318,1
1343,1
1346,1
1391,1
1396,1
1584,1
1711,1
1867,1
2014,1
2312,1
3009,1
3420,1
4290,1
4442,1
4728,1
6612,1
6756,1
7113,1
7338,1
8234,1
356482,1
